No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
43,u (SDSS PSF) AB,16.1,0.037,0.037,asinh mag,836000016000000.0,0.001367715,4.660936e-05,4.660936e-05,,,1143409761883.44,38965425705.7498,38965425705.7498,,,2.5m,Imaging camera,3585.0,A,modelled datum,2007SDSS6.C...0000:
44,V (USNO),16.249,,,mag,739999980978176.0,0.001206,,,,,892439977059.68,,,,,Schmidt,PMM,4050.0,A,integrated from scans,2015ApJ...810...14A
45,g (SDSS PSF) AB,15.898,0.013,0.013,asinh mag,616999969000000.0,0.001587911,1.901276e-05,1.901276e-05,,,979741037774.759,11730872330.6044,11730872330.6044,,,2.5m,Imaging camera,4858.0,A,modelled datum,2007SDSS6.C...0000:
46,r (SDSS PSF) AB,16.101,0.026,0.026,asinh mag,477000007000000.0,0.001317123,3.1541e-05,3.1541e-05,,,628267680219.861,15045057220.787,15045057220.787,,,2.5m,Imaging camera,6290.0,A,modelled datum,2007SDSS6.C...0000:
47,i (SDSS PSF) AB,16.117,0.028,0.028,asinh mag,388999986000000.0,0.001297855,3.347034e-05,3.347034e-05,,,504865576830.03,13019961791.4152,13019961791.4152,,,2.5m,Imaging camera,7706.0,A,modelled datum,2007SDSS6.C...0000:
48,z (SDSS PSF) AB,15.865,0.025,0.025,asinh mag,325000008000000.0,0.001607157,3.700636e-05,3.700636e-05,,,522326037857.256,12027067296.0509,12027067296.0509,,,2.5m,Imaging camera,9222.0,A,modelled datum,2007SDSS6.C...0000:
49,J (2MASS/FLWO),14.899,0.056,0.056,mag,242746929554656.0,0.00174939675682772,9.02302216256816e-05,9.02302216256816e-05,,,424660691292.802,21903109252.6703,21903109252.6703,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
50,J (2MASS/FLWO),14.924,0.036,0.036,mag,242746929554656.0,0.00170957562499143,5.6684784232098e-05,5.6684784232098e-05,,,414994233808.151,13760057324.81,13760057324.81,,,1.3m,256x256 NICMOS3,1.235,microns,flux in fixed aperture,2006AJ....131.1163S
51,H (2MASS/FLWO),13.998,0.039,0.039,mag,180380540312876.0,0.0025769141878934,9.25636014415038e-05,9.25636014415038e-05,,,464825173552.128,16696672441.3242,16696672441.3242,,,1.3m,256x256 NICMOS3,1.662,microns,flux in fixed aperture,2006AJ....131.1163S
52,H (2MASS/FLWO),14.031,0.065,0.065,mag,180380540312876.0,0.0024997694526002,0.000149654228814457,0.000149654228814457,,,450909764517.646,26994710653.6585,26994710653.6585,,,1.3m,256x256 NICMOS3,1.662,microns,flux in fixed aperture,2006AJ....131.1163S
53,K_s (2MASS/FLWO),13.071,0.027,0.027,mag,138857090319592.0,0.0039409016001171,9.8002021795769e-05,9.8002021795769e-05,,,547222129428.087,13608275591.9978,13608275591.9978,,,1.3m,256x256 NICMOS3,2.159,microns,flux in fixed aperture,2006AJ....131.1163S
54,K_s (2MASS/FLWO),13.091,0.022,0.022,mag,138857090319592.0,0.00386897203955914,7.83960086227968e-05,7.83960086227968e-05,,,537234199941.041,10885841650.0312,10885841650.0312,,,1.3m,256x256 NICMOS3,2.159,microns,flux in fixed aperture,2006AJ....131.1163S
55,W1 (WISE),10.716,0.006,0.006,mag,89420884686512.0,0.0160072518608017,8.84593428347596e-05,8.84593428347596e-05,,,1431382622792.7,7910112695.07167,7910112695.07167,,,WISE,1024x1024 pixel detector array,3.3526,microns,flux in fixed aperture,2013wise.rept....1C
56,W1 (WISE),10.731,0.006,0.006,mag,89420884686512.0,0.0157876241316407,8.72456351503416e-05,8.72456351503416e-05,,,1411743316949.44,7801581880.18019,7801581880.18019,,,WISE,1024x1024 pixel detector array,3.3526,microns,flux in fixed aperture,2013wise.rept....1C
57,W1 (WISE),10.702,0.023,0.023,mag,89420884686512.0,0.0162149934753862,0.000343494900786664,0.000343494900786664,,,1449959061755.05,30715617913.6491,30715617913.6491,,,WISE,1024x1024 pixel detector array,3.3526,microns,from fitting to map,2013wise.rept....1C
58,3.6 microns (IRAC),9149.6,16.649,16.649,uJy,84448579718309.9,0.0091496387525,1.6648921427e-05,1.6648921427e-05,,,772673997584.234,1405977768.35189,1405977768.35189,,,Spitzer,IRAC,3.55,microns,flux in fixed aperture,2013SSTSLC4.2....0C
59,3.6 microns (IRAC),8979.0,16.123,16.123,uJy,84448579718309.9,0.00897904899763,1.61225512579e-05,1.61225512579e-05,,,758267935070.968,1361526555.16531,1361526555.16531,,,Spitzer,IRAC,3.55,microns,flux in fixed aperture,2013SSTSLC4.2....0C
