No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
85,21.7 GHz (RATAN),0.76,0.12,0.12,Jy,21699999744.0,0.76,0.12,0.12,,,16491999805.44,2603999969.28,2603999969.28,,,RATAN-600,?,21.7,GHz,flux integrated from map or image,2015MNRAS.450.2658M
86,22 GHz (KVN),1.6,0.12,0.12,Jy,21699999744.0,1.6,0.12,0.12,,,34719999590.4,2603999969.28,2603999969.28,,,KVN,?,21.7,GHz,flux integrated from map or image,2017ApJS..228...22L
87,15 GHz (VLBA),0.82,,,Jy,15399999500.0,0.82,,,,,12627999590.0,,,,,VLBA,?,15.366,GHz,total flux; beam filling or dilution corrected,2005AJ....130.1389L
88,15 GHz (OVRO),1.15,,,Jy,15000000512.0,1.15,,,,,17250000588.8,,,,,40m,?,15.0,GHz,flux integrated from map or image,2011ApJ...742...27L
89,15 GHz (VLBA),1.99,,,Jy,15000000512.0,1.99,,,,,29850001018.88,,,,,VLBA,?,15.0,GHz,not reported in paper,2015ApJ...810L...9L
90,15 GHz (OVRO),1.921,0.035,0.035,Jy,15000000512.0,1.921,0.035,0.035,,,28815000983.552,525000017.92,525000017.92,,,40m,Receiver,15.0,GHz,flux integrated from map or image,2014MNRAS.438.3058R
91,15 GHz (VLBA),1.01,5.0,5.0,Jy,15000000512.0,1.01,0.0505,0.0505,,,15150000517.12,757500025.856,757500025.856,,,VLBA,?,15.0,GHz,total flux; beam filling or dilution corrected,2011ApJ...742...27L
92,15 GHz (VLBA),2.56,,,Jy,15000000512.0,2.56,,,,,38400001310.72,,,,,VLBA,?,15.0,GHz,not reported in paper,2015ApJ...810L...9L
93,15 GHz (VLBA),1.795,,,Jy,15000000500.0,1.795,,,,,26925000897.5,,,,,VLBA,?,15.0,GHz,total flux; beam filling or dilution corrected,2008ApJ...674..111C
94,15 GHz (VLBA),0.89,,,Jy,15000000500.0,0.89,,,,,13350000445.0,,,,,VLBA,?,15.366,GHz,total flux; beam filling or dilution corrected,2005AJ....130.2473K
95,11.2 GHz (RATAN),1.13,0.041,0.041,Jy,11200000000.0,1.13,0.041,0.041,,,12656000000.0,459200000.0,459200000.0,,,RATAN-600,?,11.2,GHz,flux integrated from map or image,2015MNRAS.450.2658M
96,8.4 GHz (VLA),1073.9,,,mJy,8400000000.0,1.074,,,,,9021600000.0,,,,,VLA,A configuration,8.4,GHz,flux integrated from map or image,2007ApJS..171...61H
97,7.7 GHz (RATAN),1.18,0.056,0.056,Jy,7699999744.0,1.18,0.056,0.056,,,9085999697.92,431199985.664,431199985.664,,,RATAN-600,?,7.7,GHz,flux integrated from map or image,2015MNRAS.450.2658M
98,5 GHz (VLBI),0.35,,,Jy,5000000000.0,0.35,,,,,1750000000.0,,,,,"VLBA, GBT, VLA, Jodrell Bank",?,5.0,GHz,flux integrated from map or image,2008ApJS..175..314D
